Estimated Position_x,Estimated Position_y,Measured Position_x,Measured Position_y,Waypoints_x,Waypoints_y,Lidar_x,Lidar_y
0.2999999992,0.3000679156,0.2999999992,0.3000679156,0.2999999992,0.3000679156,1.5757737888,1.6577345601
0.2999999992,0.3000679156,0.2999999992,0.3000679156,0.2999999992,1.3000679156,2.0127810648,0.0718578534
0.2999999992,0.3000679156,0.3000000068,0.4770696013,1.2999999992,1.3000679156,0.2734146873,0.0973473886
0.2999999992,0.3658619067,0.3000000069,0.4735691759,1.2999999992,0.3000679156,-0.0034210254,0.7727199499
0.2999999992,0.3658619067,0.3000000100,0.6858270630,0.2999999992,0.3000679156,-0.0043938953,1.2095829559
0.2999999992,0.3658619067,0.3000000132,0.9044116848,0.2999999992,0.3000679156,1.8002361787,-0.040362963
0.2999999992,0.3658619067,0.3374172321,1.110703872,0.2999999992,1.3000679156,1.7319086231,-0.0126791904
0.2999999992,0.3658619067,0.4843241973,1.2557815820,1.2999999992,1.3000679156,0.0608593337,1.8171797547
0.2999999992,0.4659932038,0.6710923426,1.2958564443,1.2999999992,0.3000679156,2.0216827955,-0.0033568175
0.2999999992,0.4659932038,0.8540355244,1.2704764092,0.2999999992,0.3000679156,2.0087725801,0.8526303330
0.2999999992,0.4659932038,1.0539168251,1.2448457775,0.2999999992,0.3000679156,0.2262677289,0.1041397619
0.2999999992,0.4659932038,1.2138618213,1.1132588653,0.2999999992,1.3000679156,-0.0058024707,1.0258616816
0.2999999992,0.4659932038,1.2717075456,0.9312087364,1.2999999992,1.3000679156,0.0002403877,0.3000679156
0.2999999992,0.6329878947,1.2665799369,0.7412602408,1.2999999992,0.3000679156,-0.0025612129,0.6622467840
0.2999999992,0.6329878947,1.2581962710,0.5217319480,0.2999999992,0.3000679156,-0.0042053665,0.1537197352
0.2999999992,0.6329878947,1.1488934265,0.3667499044,0.2999999992,0.3000679156,-0.4375503407,0.3938862198
0.2999999992,0.6329878947,0.9729349982,0.2927701033,0.2999999992,1.3000679156,0.2626043683,0.1123726894
0.2999999992,0.6329878947,0.7794037625,0.2771545025,1.2999999992,1.3000679156,1.0503506839,1.8989298939
